University,Average Student Loan Debt Per Borrower
Bryn Athyn College of the New Church,2825
Texas A&M International University,3477
Webb Institute,5270
Berea College,5517
"California State University, Chico",5894
Lyon College,5912
Harvard University,6170
Boston Baptist College,6384
Western Oregon University,6815
Lincoln College,7385
"California State University, Fullerton",7665
Glenville State College,7917
Davis College,9381
Allegheny Wesleyan College,9500
Xavier University,10348
Manhattan College,11170
East Stroudsburg University of Pennsylvania,12070
Hult International Business School,12343
Purdue University Northwest,12568
Rogers State University,13052
Sul Ross State University,13073
Boise Bible College,13828
Cameron University,13890
"California State University, Dominguez Hills",14585
Brigham Young University,14672
Queens College of the City University of New York,14738
Hunter College of the City University of New York,15096
The University of Texas Rio Grande Valley,16662
Southeastern Oklahoma State University,16832
Southern Utah University,16958
Cooper Union for the Advancement of Science and Art,18272
Newberry College,18587
Pomona College,18829
University of Houston-Clear Lake,18992
University of North Florida,19338
Southeastern Louisiana University,19356
Carleton College,19405
Fort Lewis College,19429
Hilbert College,19613
Elizabeth City State University,19631
The University of Texas at Tyler,19691
Florida International University,19705
Gallaudet University,20038
Western Carolina University,20123
University of Florida,20388
Campbellsville University,20439
The Evergreen State College,20488
Eastern New Mexico University,20497
Indiana Tech,20689
University of New Orleans,20723
University of Nebraska at Kearney,20774
University of Colorado Denver,20859
Liberty University,20876
Bob Jones University,21153
Indiana University Southeast,21460
University of South Florida,21463
East Central University,21665
Weber State University,21690
Montreat College,21802
Xavier University of Louisiana,21820
State University of New York College of Environmental Science and Forestry,21885
University of Illinois at Chicago,21934
North Central University,21965
Avila University,22053
Chaminade University of Honolulu,22158
Texas Womans University,22206
Texas A&M University-Texarkana,22258
Lincoln Memorial University,22290
University of Nebraska-Lincoln,22290
Purdue University Fort Wayne,22354
Lesley University,22371
"University of Nevada, Reno",22418
The University of North Carolina at Chapel Hill,22466
Indiana University East,22513
University of Central Florida,22561
Southern Illinois University Edwardsville,22610
Stanford University,22897
University of Pennsylvania,23009
University of Idaho,23105
The University of Texas at Dallas,23176
Eastern Washington University,23301
The University of North Carolina at Greensboro,23317
Florida Atlantic University,23439
University of Wyoming,23444
"California State University, Sacramento",23460
Lock Haven University of Pennsylvania,23490
Howard University,23507
Massachusetts Institute of Technology,23517
Indiana University Kokomo,23518
Northern Arizona University,23560
Montana Technological University,23632
The University of Texas at El Paso,23632
University of Northern Iowa,23671
Columbia International University,23695
Arizona State University at Tempe,23711
Covenant College,23723
"California State University, San Marcos",23725
University of Colorado Colorado Springs,23805
Mercy College,23942
Columbia College,23979
University of Illinois at Springfield,24073
Westfield State University,24121
Arkansas Tech University,24142
The University of Texas at San Antonio,24214
University of Hawaii at Manoa,24223
The University of Texas at Austin,24244
The University of West Alabama,24408
Louisiana Tech University,24425
Calumet College of Saint Joseph,24431
University of North Carolina Asheville,24476
Angelo State University,24496
Central Washington University,24498
Regis University,24531
Farmingdale State College,24531
Pittsburg State University,24533
University of Arkansas at Little Rock,24567
Texas A&M University,24590
University of Illinois at Urbana-Champaign,24655
University of Wisconsin-Green Bay,24668
Georgia Southern University,24671
Northwest University,24825
Wichita State University,24839
Sterling College,24843
Louisiana State University and Agricultural & Mechanical College,24851
Azusa Pacific University,24867
Indiana University South Bend,24879
Trevecca Nazarene University,24895
Florida State University,25013
Arizona State University at the West campus,25021
Wayne State University,25095
Arizona State University at the Downtown Phoenix campus,25136
"University at Buffalo, the State University of New York",25157
Oklahoma State University,25185
University of Michigan-Dearborn,25268
Minot State University,25324
Southeast Missouri State University,25380
Pacific Lutheran University,25449
New Jersey City University,25463
Lewis-Clark State College,25473
St. Marys College of Maryland,25579
John Brown University,25593
University of Massachusetts Boston,25645
Louisiana College,25656
Truman State University,25660
"Stony Brook University, State University of New York",25678
Eastern Oregon University,25756
University of Michigan,25777
University of Nebraska at Omaha,25804
Bluefield State College,25812
Ohio Valley University,25815
Fashion Institute of Technology,25832
Washington State University,25899
University of Wisconsin-La Crosse,25926
Austin Peay State University,25938
Arizona State University at the Polytechnic campus,26096
Earlham College,26103
Montana State University Billings,26139
Troy University,26144
Rhodes College,26155
Rockhurst University,26198
Salem State University,26204
Indiana State University,26223
Fort Hays State University,26240
University of Alaska Fairbanks,26406
Mid-Atlantic Christian University,26414
The University of Arizona,26414
Stephen F. Austin State University,26477
Tuskegee University,26500
Northern Kentucky University,26502
Fitchburg State University,26543
University of Oregon,26548
The University of North Carolina Wilmington,26568
Martin Luther College,26791
Western Kentucky University,26803
University of Wisconsin-River Falls,26814
Five Towns College,26858
Olivet College,26872
University of Central Oklahoma,26939
Indiana University Northwest,26940
Beacon College,27000
Indiana University-Purdue University Indianapolis,27022
Boise State University,27052
Idaho State University,27056
Bethany College,27057
Valdosta State University,27058
Webber International University,27083
Oakland University,27095
Chapman University,27117
Young Harris College,27123
Tabor College,27126
University of Wisconsin-Eau Claire,27129
Colorado State University,27142
Sam Houston State University,27207
Colorado Mesa University,27269
"St. Josephs College, New York",27278
Northwest Nazarene University,27339
Rutgers University - Newark,27343
Salisbury University,27355
University of Central Missouri,27385
Oregon State University,27392
University of Saint Mary,27409
Eastern Michigan University,27475
Indiana University Bloomington,27555
Purdue University,27673
"Concordia University, Nebraska",27722
Montana State University,27764
State University of New York College of Technology at Delhi,27915
Dakota State University,27928
University of Southern Mississippi,28003
Birmingham-Southern College,28007
University of Wisconsin-Whitewater,28008
Carson-Newman University,28014
Concordia University Chicago,28122
The University of Kansas,28176
