StateName,Population,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TotalSales,GDP_2022,GDP_2023,PerCapitaGDP_2022,PerCapitaGDP_2023
Alabama,3446477,23540500,30190100,35690200,36529000,46068100,58877400,70141500,83774700,94137100,115069200,126179700,132996500,33213700,886407700,277817,289038,54753,56897
Arizona,8456483,82255000,84684400,79430400,73322700,77522600,98266200,112274100,121594400,142476000,163826400,180637800,189705100,41528300,1447523400,458950,479759,62365,65096
Arkansas,1673683,10166100,13352700,15423600,18001500,24754700,30623200,33655900,42085100,48388200,57610900,61427300,65008500,15875900,436373600,165221,171152,54259,56115
California,40029676,1062767100,1151730100,1270672000,1254149500,1347562200,1646128100,1877307500,2095765300,2305135300,2505317200,2815191000,2848300300,608729600,22788755200,3598103,3755487,92190,96222
Colorado,8343691,78392800,98927500,109680500,131729600,156346900,179651600,213806800,253655300,295103600,339594300,377872300,394826100,98797900,2728385200,484372,502026,82954,85816
Connecticut,3025492,41102700,54971900,61805000,70136500,94761600,109309700,124588100,141173000,162908900,174534000,184108700,183321400,42998700,1445720200,321845,333102,88760,91763
Delaware,499804,5663500,9013700,11843900,15671500,19492200,21048900,23243500,41116000,53510400,56504100,57456500,59151700,14971800,388687700,87525,91581,85977,89785
District of Columbia,67158,3781100,4272100,4341500,4566400,4825800,5425900,5692200,5959000,6144700,6302800,6251400,6569700,1741900,65874500,162314,168559,242853,239861
Florida,36273405,286424200,277397800,267113700,266180900,333130500,418759000,480402500,547769100,638242300,729953900,827926800,870746200,195318500,6139365400,1389070,1468015,62446,65390
Georgia,14505359,80344400,99621700,102483800,104691900,111119200,141995500,167474400,195580000,227353500,259139600,293184600,314082200,68857100,2165927900,755698,792151,69253,72340
Hawaii,257909,33552200,39036700,45673200,49981000,52386200,71272700,78269600,84474000,88482400,93629700,99385100,103557000,25966600,865666400,98219,103262,68207,71215
Idaho,18830516,10335100,10859300,11895000,13086500,14241700,19582900,23893100,30889500,40009000,51292200,62497500,69982200,17523300,376087300,109546,114923,56496,58855
Illinois,14773983,88188500,99655100,114546000,134646000,159759900,212960700,273063100,317630300,350746800,405541900,456123600,471990100,116193900,3201045900,1033310,1071552,82126,85111
Indiana,8078274,21003200,24976100,30609000,41934000,51927100,67821800,78225300,98752800,112741700,132904000,149985800,159413200,41103900,1011397900,455750,473353,66698,69203
Iowa,2209230,15855700,23734300,26412000,30661200,35505300,40524400,42173500,45700100,51593300,59058200,67606800,71792700,16299800,526917300,231108,241248,72221,75155
Kansas,2915414,12805300,14919800,18473100,19941100,19762200,23700500,30090300,36574700,41398600,49979500,55650300,58851500,14129600,396276500,210670,220402,71729,74962
Kentucky,1674594,25221800,29092500,32783100,35055500,38740900,42435400,47810300,58596100,68676700,78900600,87433300,87751700,20970400,653468300,260304,271994,57653,60170
Louisiana,2783617,23839600,30813600,31751400,34872700,38374100,44266500,50859700,58070200,69818100,74934100,80434600,82267300,19248800,639550700,281429,289945,61313,63031
